unit,currency_name,origin_country,creation_year,category,symbol_meaning,iso_code
₾,Lari Georgiano,Geórgia,1995,Fiat,Letra do alfabeto georgiano Mkhedruli,GEL
MX$,Peso Mexicano,México,1993,Fiat,Símbolo do dólar com sobreposição M,MXN
S$,Dólar de Singapura,Singapura,1967,Fiat,Símbolo do dólar com S de Singapura,SGD
₦,Naira Nigeriana,Nigéria,1973,Fiat,Letra N com duas barras horizontais,NGN
£,Libra Esterlina,Reino Unido,1694,Fiat,Letra L de Libra com um corte,GBP
₨,Rupia Paquistanesa,Paquistão,1948,Fiat,Símbolo de Rúpia,PKR
Fr.,Franco Suíço,Suíça,1850,Fiat,Abreviação de Franco,CHF
XRP,XRP,Digital,2012,Criptomoeda,Símbolo estilizado de uma gota,XRP
₺,Lira Turca,Turquia,1923,Fiat,Lira com dois traços,TRY
ZK,Kwacha Zambiano,Zâmbia,1968,Fiat,Iniciais de Zambian Kwacha,ZMW
₱,Peso Filipino,Filipinas,1852,Fiat,Letra P com dois traços horizontais,PHP
ل.ل,Libra Libanesa,Líbano,1948,Fiat,Lira libanesa em escrita árabe,LBP
KM,Marco Conversível,Bósnia e Herzegovina,1995,Fiat,Iniciais de Konvertibilna Marka,BAM
zł,Złoty Polonês,Polônia,1995,Fiat,Letra z e l minúsculas com um traço,PLN
¥,Iene Japonês,Japão,1871,Fiat,Kanji para círculo ou objeto redondo,JPY
֏,Dram Armênio,Armênia,1993,Fiat,Letra do alfabeto armênio,AMD
Q,Quetzal Guatemalteco,Guatemala,1925,Fiat,Letra Q de Quetzal,GTQ
DOT,Polkadot,Digital,2020,Criptomoeda,Símbolo da rede Polkadot,DOT
EOS,EOS,Digital,2018,Criptomoeda,Logotipo da plataforma EOS.IO,EOS
KSh,Xelim Queniano,Quênia,1966,Fiat,Iniciais de Kenyan Shilling,KES
Ft,Forint Húngaro,Hungria,1946,Fiat,Abreviação de Forint,HUF
kr,Coroa Dinamarquesa,Dinamarca,1875,Fiat,Abreviação de Krone,DKK
XAG,Prata,Global,-4000,Commodity,Símbolo químico da prata (Argentum),XAG
lei,Leu Romeno,Romênia,1867,Fiat,Palavra romena para "leão",RON
BCH,Bitcoin Cash,Digital,2017,Criptomoeda,Versão do Bitcoin com foco em transações rápidas,BCH
₪,Novo Shekel Israelense,Israel,1986,Fiat,Acrônimo de "Shekel Hadash",ILS
